Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Alvin Kamara (11414937),Alvin Kamara,11414937,CPT,18600,WAS@NO 10/08/2018 08:15PM ET,NO,36.28
WR,Michael Thomas (11414938),Michael Thomas,11414938,CPT,17100,WAS@NO 10/08/2018 08:15PM ET,NO,27.12
QB,Drew Brees (11414939),Drew Brees,11414939,CPT,16800,WAS@NO 10/08/2018 08:15PM ET,NO,26.08
QB,Alex Smith (11414940),Alex Smith,11414940,CPT,14700,WAS@NO 10/08/2018 08:15PM ET,WAS,16.83
RB,Chris Thompson (11414941),Chris Thompson,11414941,CPT,12600,WAS@NO 10/08/2018 08:15PM ET,WAS,16.6
RB,Alvin Kamara (11414899),Alvin Kamara,11414899,FLEX,12400,WAS@NO 10/08/2018 08:15PM ET,NO,36.28
TE,Jordan Reed (11414942),Jordan Reed,11414942,CPT,11700,WAS@NO 10/08/2018 08:15PM ET,WAS,11.93
WR,Michael Thomas (11414900),Michael Thomas,11414900,FLEX,11400,WAS@NO 10/08/2018 08:15PM ET,NO,27.12
QB,Drew Brees (11414901),Drew Brees,11414901,FLEX,11200,WAS@NO 10/08/2018 08:15PM ET,NO,26.08
RB,Adrian Peterson (11414943),Adrian Peterson,11414943,CPT,10800,WAS@NO 10/08/2018 08:15PM ET,WAS,19.53
RB,Mark Ingram (11414944),Mark Ingram,11414944,CPT,10500,WAS@NO 10/08/2018 08:15PM ET,NO,0
QB,Alex Smith (11414902),Alex Smith,11414902,FLEX,9800,WAS@NO 10/08/2018 08:15PM ET,WAS,16.83
QB,Teddy Bridgewater (11414945),Teddy Bridgewater,11414945,CPT,9600,WAS@NO 10/08/2018 08:15PM ET,NO,0
QB,Colt McCoy (11414946),Colt McCoy,11414946,CPT,9600,WAS@NO 10/08/2018 08:15PM ET,WAS,0
WR,Jamison Crowder (11414947),Jamison Crowder,11414947,CPT,9300,WAS@NO 10/08/2018 08:15PM ET,WAS,8.8
RB,Chris Thompson (11414903),Chris Thompson,11414903,FLEX,8400,WAS@NO 10/08/2018 08:15PM ET,WAS,16.6
WR,Ted Ginn Jr. (11414948),Ted Ginn Jr.,11414948,CPT,8400,WAS@NO 10/08/2018 08:15PM ET,NO,10.28
TE,Jordan Reed (11414904),Jordan Reed,11414904,FLEX,7800,WAS@NO 10/08/2018 08:15PM ET,WAS,11.93
RB,Adrian Peterson (11414905),Adrian Peterson,11414905,FLEX,7200,WAS@NO 10/08/2018 08:15PM ET,WAS,19.53
WR,Paul Richardson Jr. (11414949),Paul Richardson Jr.,11414949,CPT,7200,WAS@NO 10/08/2018 08:15PM ET,WAS,9.37
RB,Mark Ingram (11414906),Mark Ingram,11414906,FLEX,7000,WAS@NO 10/08/2018 08:15PM ET,NO,0
QB,Teddy Bridgewater (11414907),Teddy Bridgewater,11414907,FLEX,6400,WAS@NO 10/08/2018 08:15PM ET,NO,0
QB,Colt McCoy (11414908),Colt McCoy,11414908,FLEX,6400,WAS@NO 10/08/2018 08:15PM ET,WAS,0
WR,Jamison Crowder (11414909),Jamison Crowder,11414909,FLEX,6200,WAS@NO 10/08/2018 08:15PM ET,WAS,8.8
WR,Josh Doctson (11414950),Josh Doctson,11414950,CPT,6000,WAS@NO 10/08/2018 08:15PM ET,WAS,3.27
WR,Ted Ginn Jr. (11414910),Ted Ginn Jr.,11414910,FLEX,5600,WAS@NO 10/08/2018 08:15PM ET,NO,10.28
K,Wil Lutz (11414951),Wil Lutz,11414951,CPT,5400,WAS@NO 10/08/2018 08:15PM ET,NO,11.25
TE,Benjamin Watson (11414952),Benjamin Watson,11414952,CPT,5100,WAS@NO 10/08/2018 08:15PM ET,NO,7.18
WR,Paul Richardson Jr. (11414911),Paul Richardson Jr.,11414911,FLEX,4800,WAS@NO 10/08/2018 08:15PM ET,WAS,9.37
K,Dustin Hopkins (11414953),Dustin Hopkins,11414953,CPT,4800,WAS@NO 10/08/2018 08:15PM ET,WAS,8
WR,Cameron Meredith (11414954),Cameron Meredith,11414954,CPT,4500,WAS@NO 10/08/2018 08:15PM ET,NO,7.15
DST,Saints  (11414955),Saints ,11414955,CPT,4200,WAS@NO 10/08/2018 08:15PM ET,NO,2.75
WR,Josh Doctson (11414912),Josh Doctson,11414912,FLEX,4000,WAS@NO 10/08/2018 08:15PM ET,WAS,3.27
K,Wil Lutz (11414913),Wil Lutz,11414913,FLEX,3600,WAS@NO 10/08/2018 08:15PM ET,NO,11.25
DST,Redskins  (11414956),Redskins ,11414956,CPT,3600,WAS@NO 10/08/2018 08:15PM ET,WAS,8.33
TE,Benjamin Watson (11414914),Benjamin Watson,11414914,FLEX,3400,WAS@NO 10/08/2018 08:15PM ET,NO,7.18
K,Dustin Hopkins (11414915),Dustin Hopkins,11414915,FLEX,3200,WAS@NO 10/08/2018 08:15PM ET,WAS,8
WR,Cameron Meredith (11414916),Cameron Meredith,11414916,FLEX,3000,WAS@NO 10/08/2018 08:15PM ET,NO,7.15
DST,Saints  (11414917),Saints ,11414917,FLEX,2800,WAS@NO 10/08/2018 08:15PM ET,NO,2.75
TE,Vernon Davis (11414957),Vernon Davis,11414957,CPT,2700,WAS@NO 10/08/2018 08:15PM ET,WAS,4.2
DST,Redskins  (11414918),Redskins ,11414918,FLEX,2400,WAS@NO 10/08/2018 08:15PM ET,WAS,8.33
WR,Michael Floyd (11414958),Michael Floyd,11414958,CPT,2400,WAS@NO 10/08/2018 08:15PM ET,WAS,0
QB,Taysom Hill (11414959),Taysom Hill,11414959,CPT,2400,WAS@NO 10/08/2018 08:15PM ET,NO,1.92
WR,Tre'Quan Smith (11414960),Tre'Quan Smith,11414960,CPT,2100,WAS@NO 10/08/2018 08:15PM ET,NO,0.7
TE,Vernon Davis (11414919),Vernon Davis,11414919,FLEX,1800,WAS@NO 10/08/2018 08:15PM ET,WAS,4.2
RB,Samaje Perine (11414961),Samaje Perine,11414961,CPT,1800,WAS@NO 10/08/2018 08:15PM ET,WAS,0
WR,Michael Floyd (11414920),Michael Floyd,11414920,FLEX,1600,WAS@NO 10/08/2018 08:15PM ET,WAS,0
QB,Taysom Hill (11414921),Taysom Hill,11414921,FLEX,1600,WAS@NO 10/08/2018 08:15PM ET,NO,1.92
TE,Josh Hill (11414962),Josh Hill,11414962,CPT,1500,WAS@NO 10/08/2018 08:15PM ET,NO,4
WR,Tre'Quan Smith (11414922),Tre'Quan Smith,11414922,FLEX,1400,WAS@NO 10/08/2018 08:15PM ET,NO,0.7
RB,Samaje Perine (11414923),Samaje Perine,11414923,FLEX,1200,WAS@NO 10/08/2018 08:15PM ET,WAS,0
RB,Kapri Bibbs (11414963),Kapri Bibbs,11414963,CPT,1200,WAS@NO 10/08/2018 08:15PM ET,WAS,0.3
TE,Josh Hill (11414924),Josh Hill,11414924,FLEX,1000,WAS@NO 10/08/2018 08:15PM ET,NO,4
WR,Austin Carr (11414964),Austin Carr,11414964,CPT,900,WAS@NO 10/08/2018 08:15PM ET,NO,1.88
WR,Brian Quick (11414965),Brian Quick,11414965,CPT,900,WAS@NO 10/08/2018 08:15PM ET,WAS,0
RB,Kapri Bibbs (11414925),Kapri Bibbs,11414925,FLEX,800,WAS@NO 10/08/2018 08:15PM ET,WAS,0.3
WR,Austin Carr (11414926),Austin Carr,11414926,FLEX,600,WAS@NO 10/08/2018 08:15PM ET,NO,1.88
WR,Brian Quick (11414927),Brian Quick,11414927,FLEX,600,WAS@NO 10/08/2018 08:15PM ET,WAS,0
RB,Mike Gillislee (11414966),Mike Gillislee,11414966,CPT,600,WAS@NO 10/08/2018 08:15PM ET,NO,1.3
RB,Mike Gillislee (11414928),Mike Gillislee,11414928,FLEX,400,WAS@NO 10/08/2018 08:15PM ET,NO,1.3
TE,Jeremy Sprinkle (11414967),Jeremy Sprinkle,11414967,CPT,300,WAS@NO 10/08/2018 08:15PM ET,WAS,0
WR,Maurice Harris (11414968),Maurice Harris,11414968,CPT,300,WAS@NO 10/08/2018 08:15PM ET,WAS,0
RB,Zach Line (11414969),Zach Line,11414969,CPT,300,WAS@NO 10/08/2018 08:15PM ET,NO,2.5
RB,Shane Vereen (11414970),Shane Vereen,11414970,CPT,300,WAS@NO 10/08/2018 08:15PM ET,NO,0
RB,Dwayne Washington (11414971),Dwayne Washington,11414971,CPT,300,WAS@NO 10/08/2018 08:15PM ET,NO,0.2
TE,Dan Arnold (11414972),Dan Arnold,11414972,CPT,300,WAS@NO 10/08/2018 08:15PM ET,NO,0
RB,Rob Kelley (11414973),Rob Kelley,11414973,CPT,300,WAS@NO 10/08/2018 08:15PM ET,WAS,0.4
RB,Byron Marshall (11414974),Byron Marshall,11414974,CPT,300,WAS@NO 10/08/2018 08:15PM ET,WAS,0
TE,Jeremy Sprinkle (11414929),Jeremy Sprinkle,11414929,FLEX,200,WAS@NO 10/08/2018 08:15PM ET,WAS,0
WR,Maurice Harris (11414930),Maurice Harris,11414930,FLEX,200,WAS@NO 10/08/2018 08:15PM ET,WAS,0
RB,Zach Line (11414931),Zach Line,11414931,FLEX,200,WAS@NO 10/08/2018 08:15PM ET,NO,2.5
RB,Shane Vereen (11414932),Shane Vereen,11414932,FLEX,200,WAS@NO 10/08/2018 08:15PM ET,NO,0
RB,Dwayne Washington (11414933),Dwayne Washington,11414933,FLEX,200,WAS@NO 10/08/2018 08:15PM ET,NO,0.2
TE,Dan Arnold (11414934),Dan Arnold,11414934,FLEX,200,WAS@NO 10/08/2018 08:15PM ET,NO,0
RB,Rob Kelley (11414935),Rob Kelley,11414935,FLEX,200,WAS@NO 10/08/2018 08:15PM ET,WAS,0.4
RB,Byron Marshall (11414936),Byron Marshall,11414936,FLEX,200,WAS@NO 10/08/2018 08:15PM ET,WAS,0
